user_id,flashcard_id,review_count,days_since_last_review,previous_accuracy,response_time_ms,difficulty,hour_of_day,is_correct
1,13,0,0.0,0.5,5971,medium,9,0
1,13,1,0.5,0.0,3718,medium,22,1
1,13,2,1.17,0.5,7368,medium,20,0
1,13,3,3.06,0.333,6151,medium,22,0
1,380,0,0.0,0.5,2035,hard,22,1
1,380,1,0.55,1.0,2079,hard,20,1
1,380,2,2.57,1.0,6224,hard,20,0
1,380,3,3.42,0.667,2714,hard,22,0
1,380,4,8.1,0.5,4055,hard,20,0
1,380,5,16.54,0.4,5896,hard,22,0
1,141,0,0.0,0.5,2019,hard,9,1
1,141,1,0.5,1.0,6421,hard,9,0
1,141,2,2.32,0.5,2073,hard,14,1
1,141,3,5.73,0.667,4991,hard,9,0
1,141,4,8.99,0.5,9167,hard,9,0
1,141,5,15.55,0.4,6790,hard,9,0
1,126,0,0.0,0.5,3090,medium,14,1
1,126,1,0.5,1.0,2637,medium,14,1
1,126,2,1.14,1.0,1317,medium,9,1
1,126,3,5.49,1.0,3920,medium,14,0
1,126,4,7.84,0.75,5486,medium,22,0
1,126,5,15.22,0.6,4422,medium,20,0
1,115,0,0.0,0.5,3324,hard,20,1
1,115,1,2.31,1.0,3245,hard,9,1
1,115,2,2.08,1.0,2765,hard,20,1
1,115,3,3.99,1.0,3280,hard,22,1
1,115,4,7.93,1.0,6218,hard,20,0
1,115,5,17.66,0.8,7034,hard,20,0
1,72,0,0.0,0.5,2789,hard,22,1
1,72,1,2.31,1.0,7307,hard,9,0
1,72,2,2.57,0.5,5130,hard,9,0
1,72,3,3.94,0.333,4551,hard,14,0
1,72,4,9.72,0.25,7216,hard,14,0
1,72,5,15.69,0.2,4222,hard,9,0
1,378,0,0.0,0.5,3232,hard,20,1
1,378,1,2.41,1.0,5493,hard,20,0
1,378,2,3.68,0.5,3946,hard,22,0
1,378,3,3.68,0.333,4508,hard,20,0
1,378,4,9.45,0.25,5007,hard,14,0
1,378,5,16.25,0.2,4648,hard,9,0
1,53,0,0.0,0.5,2370,hard,20,1
1,53,1,1.56,1.0,5606,hard,22,0
